title,content,summary,tags,cover_url,image_urls,video_url,type,channel,target_url
附近外卖满减套餐,附近外卖满减套餐主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,附近外卖满减套餐，适合日常使用的测试广告。,"外卖,本地,优惠",materials/images/ad_014_cover.png,materials/images/ad_014_cover.png,,IMAGE_LARGE,local,https://example.com/ads/ad-014
高效学习在线课程,高效学习在线课程主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,高效学习在线课程，适合日常使用的测试广告。,"课程,学习,学生",materials/images/ad_015_cover.png,materials/images/ad_015_cover.png,,IMAGE_SMALL,featured,https://example.com/ads/ad-015
便携睡眠助眠灯,夜间阅读、入睡放松和卧室氛围营造的小型助眠灯，支持柔和亮度和定时关闭。,适合卧室和宿舍的柔和助眠灯。,"睡眠,家居,放松",materials/images/ad_016_cover.png,materials/images/ad_016_cover.png,,IMAGE_LARGE,featured,https://example.com/ad/016
晨间营养早餐杯,为赶时间的学生和上班族准备的早餐组合，主打即拿即走、营养搭配和轻负担口味。,适合通勤前快速补充能量的早餐杯。,"早餐,通勤,健康",materials/images/ad_017_cover.png,materials/images/ad_017_cover.png,,IMAGE_LARGE,featured,https://example.com/ad/017
城市轻跑运动鞋,适合校园、通勤和夜跑的轻量运动鞋，强调缓震脚感、透气鞋面和日常穿搭友好。,适合城市轻运动的日常跑鞋。,"运动鞋,夜跑,通勤",materials/images/ad_018_cover.png,materials/images/ad_018_cover.png,,IMAGE_SMALL,featured,https://example.com/ad/018
桌面绿植订阅,面向办公桌和学习桌的小型绿植订阅服务，定期更换植物并提供养护提醒。,让桌面更清新的绿植订阅。,"绿植,办公,订阅",materials/images/ad_019_cover.png,materials/images/ad_019_cover.png,,IMAGE_LARGE,featured,https://example.com/ad/019
旅行收纳压缩袋,适合短途旅行和出差的衣物压缩收纳袋，帮助节省行李空间并保持分区整洁。,适合旅行行李整理的收纳工具。,"旅行,收纳,出差",materials/images/ad_020_cover.png,materials/images/ad_020_cover.png,,IMAGE_LARGE,featured,https://example.com/ad/020
家用投影观影套装,面向家庭周末观影的投影设备和幕布组合，突出沉浸感、易安装和小空间适配。,适合客厅和卧室的观影套装。,"投影,家庭,观影",materials/images/ad_021_cover.png,materials/images/ad_021_cover.png,,IMAGE_SMALL,featured,https://example.com/ad/021
轻食沙拉周卡,为控制饮食和工作日午餐准备的轻食沙拉周卡，覆盖多种蛋白和蔬菜搭配。,适合工作日午餐的轻食周卡。,"轻食,午餐,健康",materials/images/ad_022_cover.png,materials/images/ad_022_cover.png,,IMAGE_LARGE,featured,https://example.com/ad/022
智能书桌护眼灯,适合学习和长时间办公的护眼台灯，支持多档色温、亮度调节和桌面空间优化。,适合学习桌的智能护眼灯。,"台灯,学习,护眼",materials/images/ad_023_cover.png,materials/images/ad_023_cover.png,,IMAGE_LARGE,featured,https://example.com/ad/023
户外防水随身包,适合骑行、露营和短途出行的防水随身包，强调轻便、耐磨和多隔层。,适合户外和通勤的小型防水包。,"户外,防水,通勤",materials/images/ad_024_cover.png,materials/images/ad_024_cover.png,,IMAGE_SMALL,featured,https://example.com/ad/024
周末手作香氛课,面向城市年轻人的周末香氛体验课，可以调制个人香气并带走成品。,适合周末放松的香氛体验课。,"香氛,手作,周末",materials/images/ad_025_cover.png,materials/images/ad_025_cover.png,,IMAGE_LARGE,featured,https://example.com/ad/025
无线桌面充电站,为手机、耳机和手表准备的桌面充电站，减少线缆杂乱，适合办公和床头使用。,让桌面更整洁的无线充电组合。,"充电,数码,桌面",materials/images/ad_026_cover.png,materials/images/ad_026_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ad/026
可折叠蓝牙键盘,适合移动办公和学生课堂记录的折叠键盘，主打便携、长续航和多设备切换。,适合移动办公的折叠键盘。,"键盘,办公,便携",materials/images/ad_027_cover.png,materials/images/ad_027_cover.png,,IMAGE_SMALL,ecommerce,https://example.com/ad/027
家用迷你咖啡机,面向租房和小家庭的迷你咖啡机，支持快速萃取，适合早晨和下午茶场景。,适合小空间使用的迷你咖啡机。,"咖啡机,家用,小家电",materials/images/ad_028_cover.png,materials/images/ad_028_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ad/028
智能宠物饮水机,为猫狗提供循环饮水和滤芯提醒，适合上班族和多宠家庭的日常照护。,适合宠物家庭的智能饮水设备。,"宠物,饮水机,智能",materials/images/ad_029_cover.png,materials/images/ad_029_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ad/029
夏季冰感床品,适合夏季卧室的凉感床品组合，强调亲肤触感、透气和易清洗。,适合夏季睡眠的凉感床品。,"床品,夏季,家居",materials/images/ad_030_cover.png,materials/images/ad_030_cover.png,,IMAGE_SMALL,ecommerce,https://example.com/ad/030
便携筋膜放松仪,适合运动后和久坐办公后的肌肉放松，主打轻量机身、多档力度和随身携带。,适合运动和办公人群的放松仪。,"筋膜枪,运动,放松",materials/images/ad_031_cover.png,materials/images/ad_031_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ad/031
儿童学习平板,面向儿童启蒙和课后练习的学习平板，突出护眼屏幕、分龄内容和家长管理。,适合儿童学习陪伴的平板设备。,"儿童,教育,数码",materials/images/ad_032_cover.png,materials/images/ad_032_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ad/032
厨房空气炸锅,适合小家庭和租房用户的空气炸锅，支持低油烹饪、快速加热和易清洁。,适合日常快手料理的空气炸锅。,"厨房,空气炸锅,小家电",materials/images/ad_033_cover.png,materials/images/ad_033_cover.png,,IMAGE_SMALL,ecommerce,https://example.com/ad/033
通勤双肩电脑包,适合上班族和学生的双肩电脑包，主打轻量、防泼水和电脑独立保护层。,适合通勤和校园使用的电脑包。,"背包,通勤,电脑",materials/images/ad_034_cover.png,materials/images/ad_034_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ad/034
智能门锁升级包,面向公寓和家庭入户门的智能门锁，支持指纹、密码和临时访客授权。,让家庭入户更方便的智能门锁。,"门锁,智能家居,安全",materials/images/ad_035_cover.png,materials/images/ad_035_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ad/035
附近花艺体验课,本地花店推出的周末花艺体验课，适合朋友聚会、约会和独处放松。,适合周末参加的本地花艺课。,"花艺,本地,体验",materials/images/ad_036_cover.png,materials/images/ad_036_cover.png,,IMAGE_SMALL,local,https://example.com/ad/036
社区健身体验卡,附近健身房的一周体验卡，覆盖器械、有氧和团课，适合新手尝试运动习惯。,适合新手入门的社区健身体验。,"健身,附近,体验",materials/images/ad_037_cover.png,materials/images/ad_037_cover.png,,IMAGE_LARGE,local,https://example.com/ad/037
街区精酿小聚套餐,面向下班后小聚的本地精酿套餐，提供饮品和小食组合，适合朋友聚会。,适合下班后放松的小聚套餐。,"精酿,本地,聚会",materials/images/ad_038_cover.png,materials/images/ad_038_cover.png,,IMAGE_LARGE,local,https://example.com/ad/038
亲子陶艺周末课,本地工作室推出的亲子陶艺课程，适合家庭周末活动和儿童动手体验。,适合亲子周末的陶艺体验。,"亲子,陶艺,周末",materials/images/ad_039_cover.png,materials/images/ad_039_cover.png,,IMAGE_SMALL,local,https://example.com/ad/039
城市徒步路线卡,整理适合周末出发的城市徒步路线，串联公园、河岸和特色街区。,适合周末探索城市的徒步路线。,"徒步,城市,路线",materials/images/ad_040_cover.png,materials/images/ad_040_cover.png,,IMAGE_LARGE,local,https://example.com/ad/040
附近手机快修服务,本地门店提供屏幕、电池和系统检测服务，支持预约到店和配件折扣。,适合附近用户的手机维修服务。,"手机,维修,本地",materials/images/ad_041_cover.png,materials/images/ad_041_cover.png,,IMAGE_LARGE,local,https://example.com/ad/041
书店下午茶读书会,独立书店举办的下午茶读书会，提供主题书单、茶饮和安静交流空间。,适合周末慢下来的读书会。,"书店,下午茶,文化",materials/images/ad_042_cover.png,materials/images/ad_042_cover.png,,IMAGE_SMALL,local,https://example.com/ad/042
夜间市集美食地图,整理本地夜间市集摊位和美食路线，适合夜生活和朋友探店。,适合夜晚出门的市集美食指南。,"市集,夜生活,美食",materials/images/ad_043_cover.png,materials/images/ad_043_cover.png,,IMAGE_LARGE,local,https://example.com/ad/043
宠物友好咖啡馆,附近宠物友好咖啡馆推出休闲套餐，适合带宠物短暂停留和朋友小聚。,适合带宠物出门的本地咖啡馆。,"宠物,咖啡,本地",materials/images/ad_044_cover.png,materials/images/ad_044_cover.png,,IMAGE_LARGE,local,https://example.com/ad/044
家庭摄影限时约拍,本地摄影工作室提供家庭和亲子主题约拍，适合纪念日和周末活动。,适合家庭记录的本地摄影服务。,"摄影,家庭,本地",materials/images/ad_045_cover.png,materials/images/ad_045_cover.png,,IMAGE_SMALL,local,https://example.com/ad/045
SK-II 神仙水焕亮精华露,SK-II 神仙水主打日常护肤中的细腻肤质、透亮光泽与稳定肌肤状态，适合关注精华护理、肤质改善和高端护肤体验的用户。视频展示产品质感、使用场景与礼盒氛围，适合作为电商频道的美妆广告。,高端护肤精华广告，突出透亮肤质与礼盒质感。,"护肤,精华,美妆,SK-II,电商",materials/images/ad_046_cover.png,materials/images/ad_046_cover.png,materials/videos/ad_046_video.mp4,VIDEO,ecommerce,https://example.com/ads/ad-046
崩坏：星穹铁道千冶刃角色 PV,崩坏：星穹铁道千冶刃角色 PV 展示角色氛围、战斗张力与剧情悬念，适合二次元游戏、角色收集和剧情向玩家。广告以高燃视频内容吸引用户了解新角色与版本活动。,面向游戏玩家的角色 PV 广告，突出剧情感和战斗表现。,"游戏,星穹铁道,角色PV,二次元",materials/images/ad_047_cover.png,materials/images/ad_047_cover.png,materials/videos/ad_047_video.mp4,VIDEO,featured,https://example.com/ads/ad-047
东方树叶冬季暖饮广告,东方树叶冬季广告围绕清爽茶饮与冬季生活场景展开，适合通勤、办公室和本地便利消费场景。视频突出茶饮的自然感、季节氛围与日常陪伴价值。,冬季茶饮广告，适合本地生活与日常消费推荐。,"茶饮,东方树叶,冬季,本地生活",materials/images/ad_048_cover.png,materials/images/ad_048_cover.png,materials/videos/ad_048_video.mp4,VIDEO,local,https://example.com/ads/ad-048
Nike 运动灵感广告,Nike 广告聚焦运动表现、训练节奏与年轻人自我突破，适合跑步、健身和潮流运动装备用户。视频适合电商频道展示运动鞋服与品牌态度。,运动品牌视频广告，突出训练状态和潮流装备。,"Nike,运动,跑步,装备,电商",materials/images/ad_049_cover.png,materials/images/ad_049_cover.png,materials/videos/ad_049_video.mp4,VIDEO,ecommerce,https://example.com/ads/ad-049
星巴克咖啡季节广告,星巴克咖啡广告展示门店氛围、咖啡饮品与轻松社交场景，适合附近门店、本地探店和午后休闲消费推荐。视频强调咖啡香气、空间体验与季节新品。,本地咖啡门店广告，适合探店和休闲消费。,"星巴克,咖啡,探店,本地",materials/images/ad_050_cover.png,materials/images/ad_050_cover.png,materials/videos/ad_050_video.mp4,VIDEO,local,https://example.com/ads/ad-050
Faker 与柳智敏合作广告,Faker 与柳智敏合作广告结合电竞影响力、明星气质与品牌联名话题，适合关注电竞、潮流消费和明星合作内容的用户。视频适合电商频道承接联名商品、品牌活动或限时合作推广。,电竞与明星合作广告，适合联名活动和潮流消费推荐。,"Faker,柳智敏,电竞,联名,电商",materials/images/ad_051_cover.png,materials/images/ad_051_cover.png,materials/videos/ad_051_video.mp4,VIDEO,ecommerce,https://example.com/ads/ad-051
彩虹糖经典创意广告,彩虹糖经典广告以明亮色彩、轻松幽默和糖果分享场景吸引用户，适合零食、聚会和年轻消费人群。视频强调品牌记忆点和彩色糖果的趣味表达。,轻松有趣的零食广告，突出彩虹糖的色彩和分享感。,"彩虹糖,零食,糖果,创意广告",materials/images/ad_052_cover.png,materials/images/ad_052_cover.png,materials/videos/ad_052_video.mp4,VIDEO,featured,https://example.com/ads/ad-052
可口可乐经典畅爽广告,可口可乐广告围绕畅爽口感、聚会分享和快乐情绪展开，适合餐饮搭配、节日活动和年轻人社交场景。视频强调冰爽气泡感与品牌的经典识别度。,经典饮料广告，突出聚会分享和冰爽体验。,"可口可乐,饮料,聚会,经典广告",materials/images/ad_053_cover.png,materials/images/ad_053_cover.png,materials/videos/ad_053_video.mp4,VIDEO,featured,https://example.com/ads/ad-053
